title,comment,user,reviewdate,rating,type,upvotes
Content of book is quite good,This is how the pages of book are.,gulshan k.,2021-09-14,1.0,Verified,0
Not an original one,Feels like this is not the original one images are black and white should be coloured instead. I believe its a scam,shubhendu,2021-08-30,1.0,Verified,0
Fake product.,Its a brilliant book but unfortunately its fake and Amazon is not doing anything about it.,pari khanna,2021-08-29,1.0,Verified,0
Practically good but lagging in concept explanations,Book is really good from practical implementation wise but it would have been better if some background/intuition of the concepts are provided. One should have prior knowledge of ML techniques before reading this book,amol kadam,2021-08-20,4.0,Verified,0
Awesome,Great book for a intermediate data scientist. You can read whole book in 2 days. i am now able to write more cleaner code than before. Thanks to Abhisekh sir.,Shaikh Mamun Hoque,2021-08-16,4.0,Verified,0
Quick programmers ML guide.,"Please do not buy this book to understand ML concepts in depth, book expects you to know basics of Machine learning and deep learning. I would however liked it more if there was segregation among various topics. Chapters are somewhat continues, you feel lost when you resume reading after couple of days. Also author has made this clear in the intro. Would be have been better if everything in the book was in jupyter notebook.",Vikas Bhat,2021-08-11,3.0,Verified,0
Page quality is too bad in India,The page quality is too bad.,Amazon Customer,2021-06-29,1.0,Verified,0
Worst book for ML,Glad I got the ebook given by the author on linkedin. Worst just like 5 6 medium blogs being compiled into a book. Nothing more nothing less. Just go with oreilly or manning books. It is better to invest money over there rather than on indian authors.,Abhi,2021-06-28,1.0,Unverified,One
Good for intermediate level learners,This book is good for intermediate level learners and python programmers,Hariprasanth Madhavan,2021-06-26,4.0,Verified,0
Best book for all ML enthusiast,This is hands down the best book for any ML enthusiast. Must buy.,RAGHAV Bansal,2021-06-21,5.0,Verified,0
Got damaged book,Got a damaged book with poor print quality.,sneha bhadke,2021-06-16,1.0,Verified,0
awesome book,"Must have book for if you love to code. Also, coding first approach is always better than reading theories. You will never know, if you will not type the code.",Rohit Gupta,2021-06-08,5.0,Unverified,0
No Color images -Looks to me as a fake Product,When I saw the sample inside the book in amazon it shows images in color but in the physical copy all are B&W. I feel this product is not original,Nihar,2021-05-31,1.0,Verified,0
Awesome,"It is a interesting book, it is for people who want to learn by coding",Sethu Sai M,2021-05-21,5.0,Verified,0
"Its an Approaching ""mostly ALL"" Machine Learning Problems book!","The fact that this book teaches you how to ""approach"" an ML problem - it stirs up questions in your mind naturally, makes you think, and also helps ease out those questions by giving you a solution to it. You will literally feel, someone is holding your hand and reciting to you, the next line of code for your model and telling you simultaneously, why you should do that!! What else do you need? Condition of the book - it is just what it needs to be :) Very handy. Go for it!!",anushree,2021-05-20,5.0,Verified,0
